epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4592,1.80327,4.15234,1.635,0.10417,0.00211,0.05327,0.03198,1.52077,3.34652,1.3952,0.00198095,0.00198095,0.00198095
2,34.7452,1.62767,3.32246,1.49224,0.20394,0.07377,0.13812,0.09177,1.65415,3.15965,1.52146,0.00398093,0.00398093,0.00398093
3,51.0439,1.62549,3.08132,1.47427,0.27019,0.09576,0.17978,0.11364,1.64269,2.86984,1.47782,0.00598079,0.00598079,0.00598079
4,66.8724,1.65072,2.99107,1.50955,0.25781,0.02541,0.14179,0.08289,1.99167,3.85211,1.96822,0.00798047,0.00798047,0.00798047
5,82.9277,1.69256,2.9576,1.53723,0.16441,0.15381,0.15174,0.08225,1.84021,5.55891,1.785,0.00997987,0.00997987,0.00997987
6,98.8252,1.75271,2.95258,1.60938,0.23525,0.08289,0.16321,0.09705,1.91908,3.29556,1.81396,0.0099983,0.0099983,0.0099983
7,114.763,1.73389,2.76285,1.59678,0.34365,0.13903,0.17497,0.10288,1.7857,3.79733,1.69423,0.00999756,0.00999756,0.00999756
8,130.604,1.71046,2.62421,1.59967,0.21516,0.11969,0.16768,0.10896,1.74473,2.91573,1.66656,0.00999668,0.00999668,0.00999668
9,146.524,1.71795,2.57195,1.62993,0.39957,0.13165,0.25938,0.14485,1.80316,2.67642,1.67414,0.00999566,0.00999566,0.00999566
10,162.402,1.67225,2.40178,1.59743,0.44034,0.13223,0.28469,0.17426,1.76664,2.91388,1.69703,0.0099945,0.0099945,0.0099945
11,178.323,1.69218,2.38244,1.59146,0.52934,0.2146,0.36869,0.22492,1.67032,2.32885,1.62381,0.00999322,0.00999322,0.00999322
12,195.007,1.67111,2.23055,1.5974,0.60075,0.20972,0.41267,0.22432,1.73412,2.21956,1.62889,0.00999179,0.00999179,0.00999179
13,210.978,1.65362,2.17893,1.56985,0.55632,0.23482,0.38443,0.24142,1.62128,2.4385,1.54525,0.00999023,0.00999023,0.00999023
14,227.41,1.6641,2.16535,1.58206,0.50525,0.23881,0.3734,0.24485,1.63267,2.32817,1.55211,0.00998854,0.00998854,0.00998854
15,243.568,1.62632,2.09725,1.54136,0.55638,0.22294,0.38839,0.22714,1.62552,1.99544,1.59158,0.00998671,0.00998671,0.00998671
16,259.575,1.6235,2.06923,1.55572,0.53432,0.18518,0.35873,0.22683,1.67026,2.18189,1.62796,0.00998474,0.00998474,0.00998474
17,275.679,1.59446,2.00858,1.52442,0.51636,0.29315,0.41102,0.25508,1.64042,2.25884,1.61739,0.00998264,0.00998264,0.00998264
18,291.6,1.59388,1.96184,1.54093,0.71097,0.16835,0.44598,0.26286,1.6567,1.85323,1.55408,0.0099804,0.0099804,0.0099804
19,307.606,1.58571,1.91898,1.53238,0.64897,0.24802,0.43989,0.27533,1.56182,1.93721,1.52035,0.00997803,0.00997803,0.00997803
20,323.578,1.55579,1.82238,1.4968,0.62113,0.29949,0.46019,0.2894,1.59339,1.93983,1.5382,0.00997553,0.00997553,0.00997553
21,339.454,1.56595,1.84447,1.50702,0.63921,0.22971,0.43345,0.2844,1.53126,1.8554,1.48593,0.00997288,0.00997288,0.00997288
22,355.446,1.56896,1.83067,1.51928,0.63527,0.34077,0.47829,0.30267,1.58751,1.89465,1.54161,0.00997011,0.00997011,0.00997011
23,371.459,1.55353,1.78707,1.49209,0.76001,0.3501,0.5603,0.32798,1.67924,1.80527,1.62255,0.0099672,0.0099672,0.0099672
24,387.461,1.544,1.76678,1.48497,0.735,0.39823,0.56743,0.35492,1.58389,1.71426,1.5615,0.00996415,0.00996415,0.00996415
25,403.473,1.52462,1.71121,1.4832,0.80519,0.36123,0.59726,0.37743,1.56415,1.6294,1.5145,0.00996097,0.00996097,0.00996097
26,419.456,1.56362,1.7546,1.51667,0.81538,0.38043,0.60399,0.38913,1.53966,1.66439,1.53226,0.00995765,0.00995765,0.00995765
27,435.669,1.52409,1.65718,1.46485,0.73527,0.3322,0.53304,0.34351,1.54774,1.6564,1.50165,0.0099542,0.0099542,0.0099542
28,451.781,1.51276,1.70161,1.47494,0.74028,0.14354,0.44076,0.28867,1.5252,1.7391,1.50741,0.00995062,0.00995062,0.00995062
29,467.949,1.51532,1.69176,1.48058,0.7971,0.40068,0.59862,0.37483,1.54685,1.56228,1.49211,0.0099469,0.0099469,0.0099469
30,484.121,1.53555,1.6705,1.49942,0.66912,0.35194,0.51727,0.34758,1.50117,1.72064,1.49702,0.00994304,0.00994304,0.00994304
